,instrument,expiry,strike,option_type,ttm_days,ttm_years,underlying,mid_usd,mark_iv,moneyness,volume
136,BTC-29MAY26-59000-P,2026-05-29,59000,put,56,0.15342465753424658,67055.44,2195.1966214976,0.5351,0.8798689561950529,25.4
137,BTC-29MAY26-67000-C,2026-05-29,67000,call,56,0.15342465753424658,67055.44,5125.678941444799,0.4857,0.9991732214418397,46.6
138,BTC-6APR26-66000-C,2026-04-06,66000,call,3,0.00821917808219178,66864.03,1516.0449274065,0.4025,0.9870778055106759,17.9
139,BTC-10APR26-78000-C,2026-04-10,78000,call,7,0.019178082191780823,66865.24,23.865541460800003,0.48869999999999997,1.1665253874808494,58.1
140,BTC-29MAY26-70000-C,2026-05-29,70000,call,56,0.15342465753424658,67055.44,3725.372257904,0.4717,1.0439123209093848,153.3
141,BTC-6APR26-65500-P,2026-04-06,65500,put,3,0.00821917808219178,66864.03,519.9948749069999,0.41590000000000005,0.9795999433477163,2.6
142,BTC-17APR26-71000-C,2026-04-17,71000,call,14,0.038356164383561646,66883.285,911.0633744516501,0.4458,1.061550729752583,59.5
143,BTC-29MAY26-100000-C,2026-05-29,100000,call,56,0.15342465753424658,67055.15,102.07738429349999,0.4852,1.491309765170908,0.3
144,BTC-29MAY26-62000-P,2026-05-29,62000,put,56,0.15342465753424658,67055.44,3053.7188192424,0.5144,0.924608055662598,43.4
145,BTC-10APR26-66000-P,2026-04-10,66000,put,7,0.019178082191780823,66865.33,1367.3639031415998,0.4675,0.9870586146811808,86.7
146,BTC-24APR26-70000-P,2026-04-24,70000,put,21,0.057534246575342465,66902.28,4829.7264389328,0.4587,1.0463021589099804,8.3
147,BTC-26JUN26-76000-C,2026-06-26,76000,call,84,0.23013698630136986,67221.12,2861.3563768895997,0.46020000000000005,1.1305970504508107,12.1
148,BTC-10APR26-70000-P,2026-04-10,70000,put,7,0.019178082191780823,66865.33,3681.143699023,0.4277,1.0468803489042826,0.9
149,BTC-17APR26-69000-P,2026-04-17,69000,put,14,0.038356164383561646,66883.76000000001,3667.7274875984003,0.45799999999999996,1.0316405656619783,4.6
150,BTC-29MAY26-64000-P,2026-05-29,64000,put,56,0.15342465753424658,67055.44,3769.4920552064,0.5023,0.9544341219742947,105.7
151,BTC-6APR26-69500-P,2026-04-06,69500,put,3,0.00821917808219178,66864.03,2818.5522199647003,0.3701,1.0394228406513937,0.0
152,BTC-26JUN26-75000-C,2026-06-26,75000,call,84,0.23013698630136986,67221.12,3147.4393804415995,0.4622,1.115720773471195,46.2
153,BTC-26JUN26-45000-P,2026-06-26,45000,put,84,0.23013698630136986,67221.12,752.4638063232,0.6386999999999999,0.669432464082717,3.9
154,BTC-17APR26-64000-P,2026-04-17,64000,put,14,0.038356164383561646,66883.285,1441.0418429617002,0.5082,0.9568907986502158,44.6
